contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
NVDA260710C00110000,2026-07-09 19:46:39+00:00,110.0,94.23,0.0,0.0,0.0,0.0,39.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00115000,2026-07-09 19:15:21+00:00,115.0,88.49,0.0,0.0,0.0,0.0,63.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00120000,2026-07-09 19:46:36+00:00,120.0,84.16,0.0,0.0,0.0,0.0,81.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00125000,2026-07-09 19:21:34+00:00,125.0,78.79,0.0,0.0,0.0,0.0,51.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00130000,2026-07-09 19:54:34+00:00,130.0,73.78,0.0,0.0,0.0,0.0,114.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00135000,2026-07-09 19:10:31+00:00,135.0,68.49,0.0,0.0,0.0,0.0,51.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00140000,2026-07-09 19:49:45+00:00,140.0,64.25,0.0,0.0,0.0,0.0,61.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00145000,2026-07-09 17:37:23+00:00,145.0,58.12,0.0,0.0,0.0,0.0,51.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00150000,2026-07-09 17:48:59+00:00,150.0,53.45,0.0,0.0,0.0,0.0,85.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00155000,2026-07-09 19:50:07+00:00,155.0,49.11,0.0,0.0,0.0,0.0,48.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00160000,2026-07-09 19:49:51+00:00,160.0,44.23,0.0,0.0,0.0,0.0,83.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00165000,2026-07-09 19:03:53+00:00,165.0,38.24,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00167500,2026-07-09 19:01:13+00:00,167.5,36.05,0.0,0.0,0.0,0.0,12.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00170000,2026-07-09 19:43:08+00:00,170.0,34.04,0.0,0.0,0.0,0.0,49.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00172500,2026-07-09 19:53:49+00:00,172.5,31.65,0.0,0.0,0.0,0.0,102.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00175000,2026-07-09 19:52:29+00:00,175.0,28.83,0.0,0.0,0.0,0.0,315.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00177500,2026-07-09 19:53:06+00:00,177.5,26.34,0.0,0.0,0.0,0.0,259.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00180000,2026-07-09 19:54:50+00:00,180.0,23.4,0.0,0.0,0.0,0.0,354.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00182500,2026-07-09 19:54:26+00:00,182.5,20.97,0.0,0.0,0.0,0.0,401.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00185000,2026-07-09 19:53:28+00:00,185.0,18.77,0.0,0.0,0.0,0.0,1471.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00187500,2026-07-09 19:35:28+00:00,187.5,16.35,0.0,0.0,0.0,0.0,432.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00190000,2026-07-09 19:59:00+00:00,190.0,13.0,0.0,0.0,0.0,0.0,3092.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00192500,2026-07-09 19:58:32+00:00,192.5,10.6,0.0,0.0,0.0,0.0,8168.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00195000,2026-07-09 19:59:20+00:00,195.0,8.05,0.0,0.0,0.0,0.0,22519.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00197500,2026-07-09 19:59:54+00:00,197.5,5.59,0.0,0.0,0.0,0.0,30427.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00200000,2026-07-09 19:59:59+00:00,200.0,3.55,0.0,0.0,0.0,0.0,119924.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00202500,2026-07-09 19:59:59+00:00,202.5,1.89,0.0,0.0,0.0,0.0,260917.0,0,1.0000000000000003e-05,True,REGULAR,USD
NVDA260710C00205000,2026-07-09 19:59:59+00:00,205.0,0.8,0.0,0.0,0.0,0.0,366528.0,0,0.062509375,False,REGULAR,USD
NVDA260710C00207500,2026-07-09 19:59:59+00:00,207.5,0.3,0.0,0.0,0.0,0.0,135045.0,0,0.12500875,False,REGULAR,USD
NVDA260710C00210000,2026-07-09 19:59:59+00:00,210.0,0.1,0.0,0.0,0.0,0.0,162901.0,0,0.12500875,False,REGULAR,USD
NVDA260710C00212500,2026-07-09 19:59:56+00:00,212.5,0.04,0.0,0.0,0.0,0.0,46152.0,0,0.2500075,False,REGULAR,USD
NVDA260710C00215000,2026-07-09 19:59:45+00:00,215.0,0.02,0.0,0.0,0.0,0.0,35438.0,0,0.2500075,False,REGULAR,USD
NVDA260710C00217500,2026-07-09 19:59:57+00:00,217.5,0.01,0.0,0.0,0.0,0.0,5948.0,0,0.2500075,False,REGULAR,USD
NVDA260710C00220000,2026-07-09 19:58:42+00:00,220.0,0.01,0.0,0.0,0.0,0.0,9877.0,0,0.2500075,False,REGULAR,USD
NVDA260710C00222500,2026-07-09 19:33:56+00:00,222.5,0.01,0.0,0.0,0.0,0.0,1992.0,0,0.500005,False,REGULAR,USD
NVDA260710C00225000,2026-07-09 19:46:12+00:00,225.0,0.01,0.0,0.0,0.0,0.0,1903.0,0,0.500005,False,REGULAR,USD
NVDA260710C00227500,2026-07-09 18:37:12+00:00,227.5,0.01,0.0,0.0,0.0,0.0,246.0,0,0.500005,False,REGULAR,USD
NVDA260710C00230000,2026-07-09 19:30:35+00:00,230.0,0.03,0.0,0.0,0.0,0.0,69.0,0,0.500005,False,REGULAR,USD
NVDA260710C00232500,2026-07-09 15:26:50+00:00,232.5,0.01,0.0,0.0,0.0,0.0,18.0,0,0.500005,False,REGULAR,USD
NVDA260710C00235000,2026-07-09 18:37:19+00:00,235.0,0.01,0.0,0.0,0.0,0.0,35.0,0,0.500005,False,REGULAR,USD
NVDA260710C00240000,2026-07-09 19:06:09+00:00,240.0,0.01,0.0,0.0,0.0,0.0,32.0,0,0.500005,False,REGULAR,USD
NVDA260710C00245000,2026-07-09 15:25:02+00:00,245.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
NVDA260710C00250000,2026-07-09 18:45:26+00:00,250.0,0.01,0.0,0.0,0.0,0.0,69.0,0,0.500005,False,REGULAR,USD
NVDA260710C00255000,2026-07-09 15:25:00+00:00,255.0,0.01,0.0,0.0,0.0,0.0,12.0,0,0.500005,False,REGULAR,USD
NVDA260710C00260000,2026-07-09 15:36:54+00:00,260.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
NVDA260710C00265000,2026-07-08 18:11:07+00:00,265.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
NVDA260710C00270000,2026-07-09 14:13:30+00:00,270.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
NVDA260710C00275000,2026-07-06 16:08:59+00:00,275.0,0.01,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD
NVDA260710C00280000,2026-07-08 19:37:18+00:00,280.0,0.01,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
NVDA260710C00285000,2026-07-06 15:58:54+00:00,285.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
NVDA260710C00290000,2026-06-29 16:15:50+00:00,290.0,0.01,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD
NVDA260710C00295000,2026-07-09 13:48:20+00:00,295.0,0.01,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD
NVDA260710C00300000,2026-07-07 18:14:50+00:00,300.0,0.01,0.0,0.0,0.0,0.0,21.0,0,0.500005,False,REGULAR,USD
NVDA260710C00305000,2026-07-06 15:20:05+00:00,305.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
NVDA260710C00310000,2026-06-16 18:47:18+00:00,310.0,0.04,0.0,0.0,0.0,0.0,3.0,0,1.000005,False,REGULAR,USD
NVDA260710C00315000,2026-06-25 13:48:26+00:00,315.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
NVDA260710C00320000,2026-06-24 17:11:11+00:00,320.0,0.02,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
NVDA260710C00325000,2026-07-09 16:31:43+00:00,325.0,0.01,0.0,0.0,0.0,0.0,20.0,0,0.500005,False,REGULAR,USD
NVDA260710C00330000,2026-06-16 16:46:34+00:00,330.0,0.03,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
NVDA260710C00335000,2026-07-01 13:33:31+00:00,335.0,0.01,0.0,0.0,0.0,0.0,8.0,0,0.500005,False,REGULAR,USD
NVDA260710C00340000,2026-07-01 13:33:31+00:00,340.0,0.01,0.0,0.0,0.0,0.0,8.0,0,0.500005,False,REGULAR,USD
NVDA260710C00345000,2026-06-29 13:38:40+00:00,345.0,0.01,0.0,0.0,0.0,0.0,20.0,0,0.500005,False,REGULAR,USD
NVDA260710C00350000,2026-06-30 13:30:01+00:00,350.0,0.01,0.0,0.0,0.0,0.0,10.0,0,0.500005,False,REGULAR,USD
NVDA260710C00360000,2026-06-23 17:06:45+00:00,360.0,0.01,0.0,0.0,0.0,0.0,17.0,0,0.500005,False,REGULAR,USD
NVDA260710C00370000,2026-07-09 14:10:27+00:00,370.0,0.01,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD
NVDA260710C00380000,2026-07-01 18:17:22+00:00,380.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
NVDA260710C00390000,2026-06-26 15:45:20+00:00,390.0,0.01,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD
NVDA260710C00400000,2026-07-01 13:30:14+00:00,400.0,0.01,0.0,0.0,0.0,0.0,8.0,0,0.500005,False,REGULAR,USD
NVDA260710C00410000,2026-07-01 15:41:13+00:00,410.0,0.01,0.0,0.0,0.0,0.0,10.0,0,0.500005,False,REGULAR,USD
NVDA260710C00420000,2026-06-08 13:53:04+00:00,420.0,0.02,0.0,0.0,0.0,0.0,10.0,0,0.500005,False,REGULAR,USD
NVDA260710C00440000,2026-07-07 19:55:42+00:00,440.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
NVDA260710C00450000,2026-07-07 15:58:46+00:00,450.0,0.04,,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
NVDA260710C00460000,2026-07-09 13:39:08+00:00,460.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
